"","Periodo","CIIU_industria","ventasTotales","ARIMA_Forecast","ARIMA_Lower80","ARIMA_Upper80","ARIMA_Lower95","ARIMA_Upper95","RW_Forecast","RW_Lower80","RW_Upper80","RW_Lower95","RW_Upper95","Combined_Forecast","Combined_Lower80","Combined_Upper80","Combined_Lower95","Combined_Upper95"
"1",2018-01-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",179278478.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2018-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",190219670.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2018-03-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",212448423.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2018-04-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",209868161.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2018-05-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",212173073.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2018-06-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",255959422.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2018-07-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",215606383.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2018-08-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",223121640.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2018-09-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",216526488.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2018-10-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",204699734.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2018-11-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",214930431.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2018-12-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",313840639.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2019-01-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",193684372.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2019-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",203885406.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2019-03-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",211795246.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2019-04-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",213405222.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2019-05-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",222370525.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2019-06-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",268811010.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2019-07-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",227446512.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",2019-08-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",235582546.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",2019-09-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",214529003.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",2019-10-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",204916386.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",2019-11-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",237407237.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",2019-12-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",338420380.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2020-01-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",204721190.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",2020-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",207683222.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2020-03-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",117721801.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",2020-04-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",56264741.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",2020-05-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",68343903.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",2020-06-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",133881599.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",2020-07-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",103411342.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",2020-08-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",119582352.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2020-09-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",126346984.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",2020-10-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",135279663.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",2020-11-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",151804735.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",2020-12-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",266862696.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",2021-01-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",129489850.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",2021-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",131082085.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",2021-03-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",155523290.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",2021-04-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",134754726.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",2021-05-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",136323719.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",2021-06-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",274463590.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",2021-07-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",175639483.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",2021-08-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",183895916.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2021-09-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",170977776.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",2021-10-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",190822468.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",2021-11-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",200300535.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",2021-12-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",372787626.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2022-01-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",149954331.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",2022-02-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",175404275.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",2022-03-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",182336858.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",2022-04-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",196495970.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",2022-05-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",194250185.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",2022-06-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",372256716.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2022-07-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",202741027.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",2022-08-01,"ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.",216111505.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
